{'time': 1689044153.232909, 'GPU': 0.0, 'CPU1': 13, 'CPU2': 13, 'CPU3': 15, 'CPU4': 17, 'CPU5': 14, 'CPU6': 15, 'Temp CPU': 51.5, 'Temp GPU': 49.0, 'RAM_Total': 7012852, 'RAM_Usage': 2630904}
{'time': 1689044154.207754, 'GPU': 0.0, 'CPU1': 39, 'CPU2': 58, 'CPU3': 41, 'CPU4': 66, 'CPU5': 48, 'CPU6': 41, 'Temp CPU': 51.0, 'Temp GPU': 49.0, 'RAM_Total': 7012852, 'RAM_Usage': 2633256}
{'time': 1689044155.208896, 'GPU': 0.0, 'CPU1': 31, 'CPU2': 23, 'CPU3': 24, 'CPU4': 30, 'CPU5': 61, 'CPU6': 59, 'Temp CPU': 51.0, 'Temp GPU': 49.0, 'RAM_Total': 7012852, 'RAM_Usage': 2636020}
{'time': 1689044156.196451, 'GPU': 0.0, 'CPU1': 33, 'CPU2': 48, 'CPU3': 27, 'CPU4': 42, 'CPU5': 17, 'CPU6': 26, 'Temp CPU': 51.5, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2640876}
{'time': 1689044157.19401, 'GPU': 0.0, 'CPU1': 87, 'CPU2': 100, 'CPU3': 85, 'CPU4': 84, 'CPU5': 86, 'CPU6': 83, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2664532}
{'time': 1689044158.257244, 'GPU': 0.0, 'CPU1': 95, 'CPU2': 100, 'CPU3': 100, 'CPU4': 99, 'CPU5': 96, 'CPU6': 100, 'Temp CPU': 51.5, 'Temp GPU': 49.0, 'RAM_Total': 7012852, 'RAM_Usage': 2677292}
{'time': 1689044159.215358, 'GPU': 0.0, 'CPU1': 97, 'CPU2': 100, 'CPU3': 100, 'CPU4': 97, 'CPU5': 100, 'CPU6': 100, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2707432}
{'time': 1689044160.196188, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 93, 'CPU3': 100, 'CPU4': 100, 'CPU5': 97, 'CPU6': 100, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2736708}
{'time': 1689044161.292962, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 97, 'CPU3': 100, 'CPU4': 100, 'CPU5': 99, 'CPU6': 100, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2732952}
{'time': 1689044162.281209, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 100, 'CPU3': 99, 'CPU4': 96, 'CPU5': 97, 'CPU6': 100, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2742732}
{'time': 1689044163.2571, 'GPU': 0.0, 'CPU1': 99, 'CPU2': 100, 'CPU3': 100, 'CPU4': 100, 'CPU5': 95, 'CPU6': 100, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2752528}
{'time': 1689044164.215846, 'GPU': 9.4, 'CPU1': 100, 'CPU2': 98, 'CPU3': 100, 'CPU4': 100, 'CPU5': 95, 'CPU6': 93, 'Temp CPU': 52.5, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2763520}
{'time': 1689044165.210865, 'GPU': 0.0, 'CPU1': 100, 'CPU2': 83, 'CPU3': 80, 'CPU4': 81, 'CPU5': 82, 'CPU6': 78, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2772296}
{'time': 1689044166.216895, 'GPU': 0.0, 'CPU1': 55, 'CPU2': 19, 'CPU3': 33, 'CPU4': 32, 'CPU5': 19, 'CPU6': 23, 'Temp CPU': 51.5, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2785720}
{'time': 1689044167.218457, 'GPU': 0.0, 'CPU1': 21, 'CPU2': 9, 'CPU3': 8, 'CPU4': 100, 'CPU5': 10, 'CPU6': 6, 'Temp CPU': 51.5, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2796152}
{'time': 1689044168.217698, 'GPU': 0.0, 'CPU1': 22, 'CPU2': 16, 'CPU3': 93, 'CPU4': 17, 'CPU5': 24, 'CPU6': 19, 'Temp CPU': 52.0, 'Temp GPU': 49.5, 'RAM_Total': 7012852, 'RAM_Usage': 2808752}
